Date,Min Temperature (C),Max Temperature (C)
26-08-2022,24.6,33.0
27-08-2022,25.1,33.8
28-08-2022,24.4,29.7
29-08-2022,23.4,29.7
30-08-2022,24.6,32.0
31-08-2022,25.4,32.1
01-09-2022,25.2,32.1
02-09-2022,24.3,29.8
03-09-2022,23.7,30.1
04-09-2022,21.1,30.8
05-09-2022,22.2,31.8
06-09-2022,22.5,31.8
07-09-2022,22.8,33.0
08-09-2022,22.6,32.3
09-09-2022,23.7,32.0
10-09-2022,23.6,31.6
11-09-2022,23.9,32.3
12-09-2022,22.6,32.1
13-09-2022,22.6,30.3
14-09-2022,23.8,28.1
15-09-2022,22.4,26.8
16-09-2022,22.2,26.3
17-09-2022,22.1,27.8
18-09-2022,20.7,30.6
19-09-2022,21.9,31.6
20-09-2022,22.7,32.3
21-09-2022,22.4,32.8
22-09-2022,22.0,27.3
23-09-2022,23.0,26.4
24-09-2022,21.7,25.6
25-09-2022,22.0,28.0
26-09-2022,19.8,30.0
27-09-2022,20.7,31.0
28-09-2022,20.6,31.0
29-09-2022,21.0,31.6
30-09-2022,21.4,32.0
01-10-2022,21.1,31.0
02-10-2022,21.0,31.3
03-10-2022,20.6,33.0
04-10-2022,22.0,30.5
05-10-2022,20.2,30.6
06-10-2022,20.0,30.0
07-10-2022,20.8,26.1
08-10-2022,20.6,24.8
09-10-2022,19.7,27.1
10-10-2022,20.1,29.3
11-10-2022,19.3,25.1
12-10-2022,17.3,27.3
13-10-2022,17.0,29.6
14-10-2022,16.2,30.0
15-10-2022,17.0,30.1
16-10-2022,17.3,29.0
17-10-2022,17.0,29.0
18-10-2022,17.1,28.3
19-10-2022,16.5,29.0
20-10-2022,15.4,28.8
21-10-2022,14.7,29.1
22-10-2022,14.6,28.1
23-10-2022,13.9,30.3
24-10-2022,13.5,29.8
25-10-2022,13.7,29.0
26-10-2022,13.5,27.8
27-10-2022,13.3,26.6
28-10-2022,14.1,26.8
29-10-2022,14.0,26.6
30-10-2022,14.7,29.1
31-10-2022,13.8,28.6
01-11-2022,14.7,28.1
02-11-2022,14.3,28.3
03-11-2022,13.9,26.6
04-11-2022,13.8,25.8
05-11-2022,14.9,27.8
06-11-2022,14.7,28.3
07-11-2022,14.8,26.8
08-11-2022,13.4,25.3
09-11-2022,15.0,25.4
10-11-2022,13.7,26.6
11-11-2022,11.2,26.6
12-11-2022,9.8,25.0
13-11-2022,8.8,26.1
14-11-2022,13.0,24.0
15-11-2022,11.7,26.1
16-11-2022,10.6,25.0
17-11-2022,10.4,24.1
18-11-2022,9.7,25.0
19-11-2022,9.9,25.0
20-11-2022,11.0,26.7
21-11-2022,10.3,26.0
22-11-2022,10.0,25.3
23-11-2022,10.1,24.8
24-11-2022,9.1,25.0
25-11-2022,9.3,25.0
26-11-2022,9.0,26.6
27-11-2022,10.2,26.3
28-11-2022,10.2,25.0
29-11-2022,10.6,24.3
30-11-2022,10.6,24.3
01-12-2022,10.1,25.3
02-12-2022,10.1,23.0
03-12-2022,11.4,24.0
04-12-2022,10.4,24.0
05-12-2022,9.6,23.1
06-12-2022,8.8,24.1
07-12-2022,7.6,23.8
08-12-2022,7.5,22.8
09-12-2022,7.3,25.0
10-12-2022,8.5,25.1
11-12-2022,7.7,27.1
12-12-2022,6.4,26.3
13-12-2022,7.0,26.0
14-12-2022,5.8,24.0
15-12-2022,5.6,20.1
16-12-2022,5.7,22.0
17-12-2022,6.6,21.0
18-12-2022,6.4,23.0
19-12-2022,6.9,23.6
20-12-2022,7.5,20.3
21-12-2022,6.8,22.6
22-12-2022,5.6,22.3
23-12-2022,5.4,21.0
24-12-2022,5.6,20.3
25-12-2022,6.0,21.3
26-12-2022,7.0,22.0
27-12-2022,5.0,22.1
28-12-2022,4.8,21.6
29-12-2022,5.0,14.5
30-12-2022,7.0,19.8
31-12-2022,6.0,21.0
01-01-2023,5.9,17.3
02-01-2023,7.7,16.1
03-01-2023,6.7,18.6
04-01-2023,5.1,21.1
05-01-2023,4.4,21.0
06-01-2023,4.3,19.0
07-01-2023,4.2,22.0
08-01-2023,5.6,23.1
09-01-2023,7.2,23.0
10-01-2023,8.6,24.0
11-01-2023,6.6,14.9
12-01-2023,7.9,22.0
13-01-2023,7.7,21.6
14-01-2023,10.0,20.8
15-01-2023,7.0,18.8
16-01-2023,7.2,18.6
17-01-2023,5.7,16.3
18-01-2023,4.2,18.6
19-01-2023,8.6,18.4
20-01-2023,9.2,17.0
21-01-2023,6.5,22.0
22-01-2023,6.2,22.0
23-01-2023,6.7,23.6
24-01-2023,8.8,21.6
25-01-2023,10.8,21.3
26-01-2023,9.3,24.0
27-01-2023,7.3,25.0
28-01-2023,6.2,25.0
29-01-2023,7.1,15.6
30-01-2023,11.1,17.0
31-01-2023,8.0,22.8
01-02-2023,8.2,24.6
02-02-2023,6.5,25.0
03-02-2023,8.0,22.3
04-02-2023,8.1,24.1
05-02-2023,8.8,23.3
06-02-2023,9.8,23.7
07-02-2023,9.5,24.0
08-02-2023,7.4,24.3
09-02-2023,8.7,25.6
10-02-2023,11.8,25.1
11-02-2023,12.6,25.0
12-02-2023,7.9,21.0
13-02-2023,5.1,22.6
14-02-2023,7.0,22.8
15-02-2023,8.1,23.8
16-02-2023,10.6,26.0
17-02-2023,12.1,26.8
