Date,Min Temperature (C),Max Temperature (C)
01-01-2020,4.2,19.1
02-01-2020,5.9,18.0
03-01-2020,5.5,20.3
04-01-2020,5.5,15.8
05-01-2020,3.4,17.6
06-01-2020,6.9,14.8
07-01-2020,9.6,12.2
08-01-2020,7.0,12.0
09-01-2020,4.3,17.0
10-01-2020,3.0,20.1
11-01-2020,3.9,20.0
12-01-2020,6.8,21.6
13-01-2020,8.6,15.9
14-01-2020,9.8,20.1
15-01-2020,8.1,21.6
16-01-2020,6.5,18.3
17-01-2020,9.9,16.6
18-01-2020,8.1,19.3
19-01-2020,5.3,19.6
20-01-2020,4.0,17.0
21-01-2020,7.6,19.1
22-01-2020,5.6,22.0
23-01-2020,4.4,20.3
24-01-2020,3.1,22.8
25-01-2020,4.7,16.1
26-01-2020,6.6,20.1
27-01-2020,5.2,17.0
28-01-2020,8.3,15.1
29-01-2020,8.9,16.0
30-01-2020,5.0,20.3
31-01-2020,4.5,20.8
01-02-2020,7.1,18.0
02-02-2020,2.5,20.0
03-02-2020,3.4,17.8
04-02-2020,5.7,19.3
05-02-2020,4.6,21.0
06-02-2020,4.9,17.8
07-02-2020,5.7,19.0
08-02-2020,4.4,21.3
09-02-2020,4.8,22.0
10-02-2020,5.5,21.0
11-02-2020,5.3,21.8
12-02-2020,7.2,25.0
13-02-2020,8.5,28.3
14-02-2020,9.6,22.6
15-02-2020,9.1,25.6
16-02-2020,9.3,24.0
17-02-2020,9.7,25.1
18-02-2020,7.5,25.0
19-02-2020,9.7,23.0
20-02-2020,9.5,25.8
21-02-2020,12.1,19.0
22-02-2020,9.9,24.1
23-02-2020,10.9,21.3
24-02-2020,9.0,24.6
25-02-2020,10.7,22.8
26-02-2020,10.8,22.0
27-02-2020,11.7,21.1
28-02-2020,11.8,22.8
29-02-2020,12.6,23.6
01-03-2020,9.0,26.0
02-03-2020,10.8,25.6
03-03-2020,11.0,25.0
04-03-2020,10.5,26.0
05-03-2020,12.6,24.0
06-03-2020,10.6,17.6
07-03-2020,10.4,15.0
08-03-2020,8.0,23.3
09-03-2020,8.7,25.3
10-03-2020,10.4,24.0
11-03-2020,12.9,22.1
12-03-2020,12.7,25.0
13-03-2020,12.6,21.8
14-03-2020,10.7,23.1
15-03-2020,10.3,23.0
16-03-2020,9.6,25.6
17-03-2020,10.7,26.8
18-03-2020,11.6,27.0
19-03-2020,11.7,26.8
20-03-2020,12.9,27.6
21-03-2020,13.9,28.0
22-03-2020,13.4,27.6
