Date,Min Temperature (C),Max Temperature (C)
01-01-2020,4.2,19.1
01-02-2020,5.9,18.0
01-03-2020,5.5,20.3
01-04-2020,5.5,15.8
01-05-2020,3.4,17.6
01-06-2020,6.9,14.8
01-07-2020,9.6,12.2
01-08-2020,7.0,12.0
01-09-2020,4.3,17.0
01-10-2020,3.0,20.1
01-11-2020,3.9,20.0
01-12-2020,6.8,21.6
01-13-2020,8.6,15.9
01-14-2020,9.8,20.1
01-15-2020,8.1,21.6
01-16-2020,6.5,18.3
01-17-2020,9.9,16.6
01-18-2020,8.1,19.3
01-19-2020,5.3,19.6
01-20-2020,4.0,17.0
01-21-2020,7.6,19.1
01-22-2020,5.6,22.0
01-23-2020,4.4,20.3
01-24-2020,3.1,22.8
01-25-2020,4.7,16.1
01-26-2020,6.6,20.1
01-27-2020,5.2,17.0
01-28-2020,8.3,15.1
01-29-2020,8.9,16.0
01-30-2020,5.0,20.3
01-31-2020,4.5,20.8
02-01-2020,7.1,18.0
02-02-2020,2.5,20.0
02-03-2020,3.4,17.8
02-04-2020,5.7,19.3
02-05-2020,4.6,21.0
02-06-2020,4.9,17.8
02-07-2020,5.7,19.0
02-08-2020,4.4,21.3
02-09-2020,4.8,22.0
02-10-2020,5.5,21.0
02-11-2020,5.3,21.8
02-12-2020,7.2,25.0
02-13-2020,8.5,28.3
02-14-2020,9.6,22.6
02-15-2020,9.1,25.6
02-16-2020,9.3,24.0
02-17-2020,9.7,25.1
02-18-2020,7.5,25.0
02-19-2020,9.7,23.0
02-20-2020,9.5,25.8
02-21-2020,12.1,19.0
02-22-2020,9.9,24.1
02-23-2020,10.9,21.3
02-24-2020,9.0,24.6
02-25-2020,10.7,22.8
02-26-2020,10.8,22.0
02-27-2020,11.7,21.1
02-28-2020,11.8,22.8
02-29-2020,12.6,23.6
03-01-2020,9.0,26.0
03-02-2020,10.8,25.6
03-03-2020,11.0,25.0
03-04-2020,10.5,26.0
03-05-2020,12.6,24.0
03-06-2020,10.6,17.6
03-07-2020,10.4,15.0
03-08-2020,8.0,23.3
03-09-2020,8.7,25.3
03-10-2020,10.4,24.0
03-11-2020,12.9,22.1
03-12-2020,12.7,25.0
03-13-2020,12.6,21.8
03-14-2020,10.7,23.1
03-15-2020,10.3,23.0
03-16-2020,9.6,25.6
03-17-2020,10.7,26.8
03-18-2020,11.6,27.0
